iter,elapsed_s,global_best_len,iter_best_len,iter_mean_len,iter_worst_len
0,0.0202933,36226.2,89491.3,105498,125516
1,0.0406048,36226.2,83295.7,103188,119320
2,0.0607234,36226.2,83865.2,100292,119120
3,0.0808179,36226.2,80191.7,96092.2,110490
4,0.101098,36226.2,73512.5,88062.6,105995
5,0.121207,36226.2,62023.4,78351.2,94155.5
6,0.141601,36226.2,59654,70161.1,87503
7,0.162587,36226.2,50435.8,60786.9,75902.1
8,0.183437,36226.2,44513.6,54734,67024.6
9,0.203581,36226.2,41376.8,50703.9,62383
10,0.224195,36226.2,38804,47717.5,57431
11,0.243832,36226.2,38996.4,46526.6,55823.9
12,0.263646,36226.2,37934.1,45569.3,55113.7
13,0.282483,36226.2,39188.8,45191.7,52148.1
14,0.301956,36226.2,38058.3,44645.3,51347.9
15,0.321286,36226.2,38245.6,44477.3,51880.9
16,0.340478,36226.2,37661.2,44329.1,50319.8
17,0.359829,36226.2,37100,44328.4,53308.4
18,0.378553,36226.2,36757.9,44426.1,52793
19,0.396964,36226.2,37586.3,44360.2,53009.3
20,0.416322,36226.2,37736.3,44325.2,52734.9
21,0.435691,36226.2,38289.6,45058.4,53143.2
22,0.454421,36226.2,38455.1,44821.2,52707
23,0.47349,36226.2,37834.6,45158.5,53228
24,0.4927,36226.2,36960.4,44782.6,57900.6
25,0.511945,36226.2,36811.9,44832.6,51794.5
26,0.531221,36226.2,39200.7,45384,53212.7
27,0.550402,36226.2,38892.9,45421,55639.5
28,0.569968,36226.2,37124,45244.9,54580.5
29,0.589304,36226.2,39403.6,45472.4,57695.6
30,0.608711,36184.8,36184.8,45146.6,52566.4
31,0.628041,36184.8,37926.4,44644.2,53132.3
32,0.647311,36184.8,36563.7,44838.1,55000.7
33,0.666646,36184.8,37963.7,45290,52851.6
34,0.685969,36184.8,36263.9,44750.1,54109.8
35,0.705194,36184.8,37249.5,45082.4,56919.9
36,0.724377,36184.8,39247.7,45380.9,53904.4
37,0.743706,36184.8,37415.3,45142.8,53617.5
38,0.763134,36184.8,36685.1,45148,57063
39,0.782369,36184.8,38054.1,45144.6,56315.8
40,0.801858,36184.8,38343.9,45152.9,52767.2
41,0.821054,36184.8,38762.5,45432.5,52298.6
42,0.839889,36184.8,39316.9,45338,53907.9
43,0.859431,36184.8,38285.4,45084.8,53633.6
44,0.878658,36184.8,39081,44974.8,56040.9
45,0.898037,36184.8,38062.8,44990.1,53788.4
46,0.91744,36184.8,36722.9,45208.2,57481.5
47,0.93689,36184.8,37846,45367.9,52902.6
48,0.956093,36184.8,38304.3,45376.7,56430.9
49,0.975462,36184.8,37976.8,45190.6,53898.7
50,0.99467,36184.8,37162.8,45526.7,53568.6
51,1.01391,36184.8,38506.6,45361.6,54156.8
52,1.03317,36184.8,36538.3,45052,54413.6
53,1.05254,36090.2,36090.2,45331,57781.8
