iter,elapsed_s,global_best_len,iter_best_len,iter_mean_len,iter_worst_len
0,0.0202949,36226.2,84594.8,105670,132182
1,0.0403136,36226.2,79253,96485.6,113539
2,0.0605849,36226.2,77157.3,89868,105168
3,0.0808701,36226.2,69637.3,84097,98363.2
4,0.101283,36226.2,63266.1,77558.5,93080.9
5,0.12152,36226.2,59463.2,71687.3,87852.8
6,0.14178,36226.2,51402.6,64108.3,75991.1
7,0.161915,36226.2,47749.4,57537.1,71108.9
8,0.181829,36226.2,44194.9,52705.9,61081.1
9,0.201537,36226.2,40793.7,49428,60517.6
10,0.221071,36226.2,41468.9,47949.9,58611.8
11,0.240444,36226.2,38229.5,45931.5,54547.3
12,0.259693,36226.2,38506,45785.5,54231.6
13,0.278887,36226.2,39021,45208.2,53810.1
14,0.297849,36226.2,39848.1,44936.7,51037.4
15,0.317018,36226.2,39621,44810.9,55004.9
16,0.336256,36226.2,38592.4,44688.3,53246.5
17,0.355923,36226.2,37991.6,44603.4,53313.4
18,0.37505,36226.2,38566.8,45115.5,54354.9
19,0.394047,36226.2,38399.6,44670.5,53853.2
20,0.412999,36226.2,36474.4,44996.5,52982.1
21,0.432119,36226.2,37701.5,45015,59102.6
22,0.451046,36226.2,37800.3,45018.8,55630.2
23,0.470004,36226.2,36651.5,44906.6,53138.2
24,0.488992,36226.2,37210.6,45058.3,54677.7
25,0.50781,36226.2,37284.3,44634.6,54430.6
26,0.526942,36226.2,37431.1,44920.8,57044.7
27,0.545826,36226.2,38018.7,45047.9,58301.9
28,0.564946,36226.2,38712.5,45060.2,54927
29,0.583998,36226.2,37463,44665.7,54920.3
30,0.602998,36226.2,39428.1,45193.4,54444.6
31,0.622049,36226.2,37358.3,45485.5,55238.6
32,0.640806,36226.2,38468.6,44956.6,52997.2
33,0.659716,36226.2,38131.8,45069,57135.3
34,0.678918,34657.9,34657.9,44915.1,53007.7
35,0.697844,34657.9,36365.1,44958.4,57871.1
36,0.71685,34657.9,36421.4,44572.2,54261.2
37,0.7359,34657.9,35779.6,44600.6,52915.3
38,0.755175,34657.9,36518.4,44520.4,54626.9
39,0.774139,34657.9,37533,44433.8,54068.8
40,0.793383,34657.9,35905.8,44078.4,54540.4
41,0.81234,34657.9,37760.4,44334.9,55496.4
42,0.831232,34657.9,36350.9,43772.9,54323.7
43,0.849811,34657.9,37641,43849.8,50983.9
44,0.869066,34657.9,38062.7,43660.5,54106.9
45,0.888002,34657.9,35094,43322.9,54368.2
46,0.906858,34657.9,36064.8,43643,53968.6
47,0.925512,34657.9,36695.2,43016.4,52863.1
48,0.94459,34657.9,36995.7,43546.3,53800.4
49,0.963517,34657.9,37213.2,43566.3,51782.1
50,0.98223,34657.9,35523.7,43516.4,60720.3
51,1.00099,34657.9,35514.6,43516.5,55487
52,1.0197,34657.9,36448.5,43305.9,55531.6
53,1.03866,34657.9,36750,43286,50994.3
54,1.05757,34657.9,36786.6,42990.5,51062.3
55,1.07626,34657.9,37342,43113.7,56030.2
56,1.0948,34657.9,36003.7,43296.4,53083.8
57,1.11358,34657.9,37007.2,43077.6,56113.1
58,1.13198,34657.9,35756.9,42870.9,50117.9
59,1.15083,34657.9,35325.2,42855,53060.3
60,1.16977,34657.9,36041,43076.9,55541.2
61,1.18853,34657.9,35471,42858.3,50335.8
62,1.20703,34657.9,36594.3,42735.3,54079.1
63,1.22567,34657.9,35415.4,42926.7,52497.8
64,1.24421,34657.9,36134.7,43142.5,55043.1
65,1.26274,34657.9,36232.6,42760.3,52925.6
66,1.28122,34163.3,34163.3,42847.7,52148.6
67,1.29993,34163.3,35315.5,43446.9,53813.6
68,1.31859,34163.3,35933.2,43072.8,57323
69,1.33741,34163.3,36741.3,43054.4,54968.2
70,1.35606,34163.3,36973,43693.4,55652.4
71,1.37485,34163.3,36117.2,43308,56326.7
72,1.39365,34163.3,35989.1,43436.8,53173.9
73,1.4124,34163.3,35955,43648,55854.8
74,1.43124,34163.3,36620.5,44187.4,53874.7
75,1.45001,34163.3,36097.8,44303.5,56946.8
76,1.46885,34163.3,36657.6,44057.2,52248.8
77,1.48779,34163.3,38193.8,44241.5,52664.9
78,1.507,34163.3,37219.5,44515.7,56528.2
79,1.52646,34163.3,35224.6,44470.8,55750.7
80,1.54584,34163.3,37919.8,44782.3,54191.5
81,1.56498,34163.3,38020,45085.5,56367.2
82,1.58428,33948.4,33948.4,44898,56399.6
83,1.60325,33948.4,35809.5,44722.6,55725.1
84,1.62217,33948.4,38472,44878.3,59635.4
85,1.6407,33948.4,37350,44559.9,56370.5
86,1.65968,33948.4,36699.3,43929.3,54501.1
87,1.6782,33948.4,37245.2,44007.6,53422.6
88,1.69692,33948.4,36532.3,44305.7,56296.9
89,1.71555,33948.4,36452.4,43929.9,52797
90,1.73447,33948.4,36242.6,43830.3,54538.3
91,1.75312,33948.4,36417.5,44208.2,55322.5
92,1.77193,33948.4,37679,44430,54572.1
93,1.79068,33948.4,36288.7,44226,51971.8
94,1.80968,33948.4,37814.7,44319.8,53027.2
95,1.82838,33948.4,37796.9,44048.4,53425.6
96,1.84755,33948.4,35461.7,44512,52378.4
97,1.86649,33948.4,37136.3,43982.9,54887
98,1.88577,33948.4,38108.3,44359.2,54948.2
99,1.90438,33948.4,36389,44453.5,54799.7
100,1.92317,33948.4,35974.2,43860.5,55072.9
101,1.94209,33948.4,38171.8,44232,55767.1
102,1.96106,33948.4,35699.5,44219.9,52592
103,1.98072,33948.4,37097.7,44206.3,52610.8
104,1.99952,33948.4,36463.4,44084,54358.7
105,2.01837,33948.4,37422.2,44389.9,56845.5
106,2.03734,33948.4,36858.2,44201.4,54459.7
107,2.05647,33948.4,37134.4,44223.7,54355.8
108,2.07561,33948.4,37251.4,44253,52214.8
109,2.09461,33948.4,37718.6,44703.9,57298.1
110,2.11381,33948.4,37381.2,44798.8,57901.8
111,2.13294,33948.4,36566.3,44314.5,57602.7
112,2.15211,33948.4,36144.4,44485.4,53847.9
113,2.1711,33948.4,36756.9,44788.2,55748.6
114,2.19029,33948.4,37317.5,44587.5,52963.3
115,2.20946,33948.4,37832.7,44478.1,54821.1
116,2.22855,33948.4,38105.4,44542.9,53792.8
117,2.2477,33948.4,38153.5,44329,54525.6
118,2.26673,33948.4,38117.6,44375.8,52822.8
119,2.28581,33948.4,36943.6,44635.9,58073
120,2.30531,33948.4,36637.6,44441.2,58280.4
121,2.32438,33948.4,38042.4,44435.2,54922.2
122,2.34346,33948.4,36918.5,44496,54405.2
123,2.36272,33948.4,37683.1,44876,54024.5
124,2.3819,33948.4,37773.3,44422.3,54763.5
125,2.40097,33948.4,38116.6,44058,55161
126,2.42014,33948.4,36017.1,44431,52317.6
127,2.43934,33948.4,36442.5,44704,55644.3
128,2.45837,33948.4,38170.6,44709.8,54366.3
129,2.47754,33948.4,37634,44541.3,52187.9
130,2.49669,33948.4,36960.7,44074.7,53790.8
131,2.51594,33948.4,37120.1,44641.5,53172.9
132,2.53507,33948.4,35124.1,44278.4,55638.2
133,2.55414,33948.4,36140.6,44626,56162.7
134,2.57359,33948.4,37855.7,44331.7,55192.7
135,2.5934,33948.4,36172,44709.3,54211.8
136,2.61276,33948.4,37282.2,44068.3,54178.7
137,2.6324,33948.4,35436.3,44229.2,54032.3
138,2.65169,33948.4,36403.9,44179.4,52160.2
139,2.67074,33948.4,34969.7,44643.5,54535.7
140,2.68999,33948.4,37191.8,44215.4,55592.9
141,2.70917,33948.4,36535.9,44545.9,54152.7
142,2.72824,33948.4,37397.6,44362.2,55740.2
143,2.7472,33948.4,36621.3,44022.2,52591.1
144,2.76623,33948.4,36629.2,44433.7,55849.4
145,2.78529,33948.4,36066.3,44193.3,52110.8
146,2.80442,33948.4,36323,44105.9,54376.3
147,2.82344,33948.4,37588.2,44271.8,56115.6
148,2.8424,33948.4,37420.1,44199.7,53153.6
149,2.86164,33948.4,38292.3,44639.3,56032.3
150,2.8807,33948.4,36125.3,44026,55785.6
151,2.89961,33948.4,36865.4,44239.7,54540
152,2.91874,33948.4,37956.9,44560.4,55641.7
153,2.93755,33948.4,37059.5,43998.9,57585.3
154,2.95666,33948.4,37402,43862,50984.1
155,2.9755,33948.4,38083,43900.5,54678
156,2.9946,33948.4,38042.3,43508.7,50682.1
157,3.0134,33948.4,37081.2,43826.4,54255.9
158,3.03248,33948.4,36475.4,44209.4,52645.7
159,3.0515,33948.4,37681.5,44119.9,53919.4
160,3.07054,33948.4,36326,44251.7,55398.4
161,3.08944,33948.4,37151.1,43950.5,56754.2
162,3.10843,33948.4,35001.2,44243.5,55794
163,3.12761,33948.4,37759.9,44365.4,55576.2
164,3.14667,33948.4,37248.4,44137.1,54188.6
165,3.16556,33948.4,37170.4,44195.5,52754.9
166,3.18462,33948.4,35964.2,44089.7,56079.7
167,3.20362,33948.4,36922.1,44230.3,54682.7
168,3.22268,33948.4,38263.5,44710,57744.6
169,3.24181,33948.4,37210.8,44493.4,52237.8
170,3.26086,33948.4,36172.7,44374.1,53114.9
171,3.2798,33948.4,36319.9,44338.4,52522.8
172,3.29856,33948.4,36686.2,44267.4,53462
173,3.31747,33948.4,37170.1,44464.2,54906.6
174,3.33657,33948.4,36541.1,44506.6,56848.3
175,3.35547,33948.4,37706.2,44361.6,58608.5
176,3.37446,33948.4,36384.6,44328.4,51490.4
177,3.3935,33948.4,37870,44348.2,53057.9
178,3.41251,33948.4,37527.2,44535.6,53321.4
179,3.43146,33948.4,35735.2,44407.9,55661.9
180,3.45054,33948.4,36258.4,44320.7,54881.3
181,3.46939,33948.4,37317.7,44520,53848.8
182,3.48824,33948.4,36277.8,44422.8,53900.8
183,3.50722,33948.4,35553.2,44091.3,51099.2
184,3.52617,33948.4,36687.2,44234.6,53484.2
185,3.54484,33948.4,37573.5,43747,51270.8
186,3.56375,33948.4,37658.4,44062.9,55388.8
187,3.5827,33948.4,37189.1,44000.5,54087.3
188,3.6012,33948.4,35811.1,43945.8,53867.4
189,3.62,33948.4,38073.1,44033,56644.1
190,3.63901,33948.4,37920.6,44047.8,58257.2
191,3.65765,33948.4,36323.7,44088.8,57177
192,3.6765,33948.4,37977.5,43795.3,50976.5
193,3.69536,33948.4,36557.8,44403.7,56390.7
194,3.71436,33948.4,36993.9,44059.3,59284.8
195,3.73333,33948.4,36856,44155,53807.9
196,3.7521,33948.4,37344.6,43468.5,56302.3
197,3.77089,33948.4,37168.8,44033.7,53162.8
198,3.78969,33948.4,36870.7,44027.6,56125.9
199,3.80845,33948.4,36818.9,44437.3,52558.7
200,3.82742,33948.4,35481,43828.3,53304.9
201,3.84631,33948.4,36061.3,44086.4,54904
202,3.86531,33948.4,36036.2,44263.6,55723.6
203,3.88392,33948.4,36763.1,43585,53335
204,3.90286,33948.4,36263.8,43916.5,52273.8
205,3.92166,33948.4,35196.6,44254.9,54131
206,3.94038,33948.4,36230.1,43902,53042.9
207,3.95944,33948.4,36587.2,44266.4,54998.8
208,3.97836,33948.4,36854.1,44104.7,55934.9
209,3.99737,33948.4,37007.9,44355.8,54997.9
210,4.01615,33948.4,35882.8,43298,54856.7
211,4.03483,33948.4,35503.8,43395.2,54353.8
212,4.05339,33948.4,36968.6,43781.4,52720.3
213,4.07234,33948.4,36999.8,44323.9,56267.8
214,4.09109,33948.4,36969.4,44441.8,54138.7
215,4.10999,33948.4,35999.6,43707,53471.1
216,4.12849,33948.4,36250.9,44265.2,56196.4
217,4.14727,33948.4,36165.6,44233.8,57491.3
218,4.16638,33948.4,36968,44185.2,56133.1
219,4.18516,33948.4,37206.6,44424.6,53903.6
220,4.20397,33948.4,36643.1,43782.5,53247.6
221,4.22291,33948.4,37737.2,44177.7,53716.9
222,4.24156,33948.4,36839.6,43808.4,54314.5
223,4.26039,33948.4,36748.4,43861.7,50369.6
224,4.27917,33948.4,35737.1,43594.3,53806.6
225,4.2981,33948.4,36477.3,43736.3,53102
226,4.31689,33948.4,36398.3,44133.1,60175.6
227,4.33583,33948.4,35942.4,44245.8,52720.8
228,4.35475,33948.4,36174.7,43726.9,53495
229,4.37333,33948.4,36963.8,44021,53555.7
230,4.39237,33948.4,35797.3,43979.7,55052.4
231,4.41133,33948.4,36492.5,44001.1,54369.5
232,4.42999,33948.4,37197.1,43853.8,58177.2
233,4.44876,33948.4,36013,43781.4,52463.9
234,4.46782,33948.4,36031.8,43757.3,53762.4
235,4.48676,33948.4,37178,43945.4,52651.7
236,4.50566,33948.4,36721.1,44024.9,52698.3
237,4.52485,33948.4,37162.5,44193.7,59355.8
238,4.54377,33948.4,35878.7,43972.6,54230.9
239,4.5625,33948.4,34658.8,43050.3,51163.6
240,4.58128,33948.4,36933.2,43848.1,52339.3
241,4.60055,33948.4,36067,44020.4,54121
242,4.61933,33948.4,37063.8,43613.3,52269.6
243,4.63772,33948.4,34789.5,43702.4,53709.6
244,4.65651,33948.4,36139.5,43733.7,54923.9
245,4.67512,33948.4,36383.3,43644.1,52110.4
246,4.69388,33948.4,37147.4,43859.7,51664.1
247,4.71232,33948.4,37553.7,44170.1,52149.1
248,4.73084,33948.4,37107.7,43397.6,54436.6
249,4.74967,33948.4,37698.8,43962.2,51475.1
250,4.76821,33948.4,36742.4,43630.2,57695.5
251,4.78673,33948.4,35604.8,44102.7,55278.5
252,4.8054,33948.4,36682.8,43774.3,54829.4
253,4.82401,33948.4,36713.2,44018.2,52957.8
254,4.84262,33948.4,36893.4,43802.2,54031.7
255,4.86144,33948.4,36333.7,43639,53779.3
256,4.88014,33948.4,36945.9,43711.8,54159.1
257,4.8987,33948.4,36463.7,43991.4,55496.5
258,4.9175,33948.4,36660.9,43694.5,56060.4
259,4.93612,33948.4,35183.1,43581.9,51148.2
260,4.95517,33948.4,36801.5,43936.5,52297.4
261,4.97373,33948.4,36554.7,43897,56130.3
262,4.99264,33948.4,35978.7,43527.1,53272.6
263,5.01165,33948.4,36525.5,43736.7,55818.6
