iter,elapsed_s,global_best_len,iter_best_len,iter_mean_len,iter_worst_len
0,0.0204601,36226.2,91073,106186,125677
1,0.0405727,36226.2,90194.1,105443,124235
2,0.0608255,36226.2,87633.8,105795,129580
3,0.0811481,36226.2,84900.6,106519,126606
4,0.101449,36226.2,87101.7,105591,123227
5,0.121691,36226.2,85274.6,105174,125190
6,0.141954,36226.2,89415.6,106232,126647
7,0.162263,36226.2,89651.3,105817,130395
8,0.182563,36226.2,91865.4,105721,125312
9,0.202793,36226.2,84321.4,106088,129759
10,0.223154,36226.2,84578.6,105349,126624
11,0.243331,36226.2,87471.4,104523,122659
12,0.263664,36226.2,87937.9,104658,124478
13,0.284338,36226.2,83380.9,104809,126037
14,0.304765,36226.2,86167,105377,126782
15,0.32503,36226.2,86858.7,105332,126253
16,0.345423,36226.2,85995.9,105243,126706
17,0.365656,36226.2,83858.3,105945,126123
18,0.385876,36226.2,85715.1,104428,125732
19,0.406041,36226.2,89861.5,104945,119706
20,0.426832,36226.2,83287,104694,127078
21,0.447119,36226.2,85743.8,104157,122217
22,0.467369,36226.2,88130.7,105651,121255
23,0.487922,36226.2,88330.5,103662,124208
24,0.508182,36226.2,86610.7,104273,126983
25,0.528344,36226.2,83991.6,104133,132082
26,0.548548,36226.2,85780.4,104245,130550
27,0.568819,36226.2,85210,103981,126119
28,0.589064,36226.2,86472.1,104466,128696
29,0.609412,36226.2,86923.2,104325,126681
30,0.629614,36226.2,87226.9,104524,124244
31,0.6498,36226.2,81005.8,104379,120528
32,0.669834,36226.2,81416.5,104182,124069
33,0.690053,36226.2,87813.1,104164,125596
34,0.71017,36226.2,84695.9,103773,122357
35,0.730545,36226.2,84095.5,103846,127935
36,0.750876,36226.2,86460.6,103506,118742
37,0.771178,36226.2,86282.5,103553,120934
38,0.791442,36226.2,82717.3,102804,125725
39,0.8117,36226.2,87505.5,103586,124877
40,0.831959,36226.2,83551.7,103130,125328
41,0.852362,36226.2,88080.6,103473,121818
42,0.872738,36226.2,86240.6,103633,121316
43,0.89293,36226.2,88075,102338,121970
44,0.913116,36226.2,82624.9,102571,121851
45,0.933445,36226.2,87150.4,103166,119625
46,0.953889,36226.2,85481.6,102794,124321
47,0.974084,36226.2,84346.5,102307,122723
48,0.994482,36226.2,82290,102325,131238
49,1.01476,36226.2,85107.4,102444,126877
50,1.03496,36226.2,81685.8,102210,124163
51,1.05532,36226.2,84450.6,102468,127382
52,1.07563,36226.2,81222.4,101365,121797
53,1.09584,36226.2,83586,103047,125429
54,1.11615,36226.2,84434,102380,121168
55,1.13644,36226.2,83773.4,101132,128203
56,1.15669,36226.2,85536.3,101367,123942
57,1.17701,36226.2,82481,101776,125705
58,1.19725,36226.2,84436.8,101239,120358
59,1.21743,36226.2,84226.4,101575,120963
60,1.23766,36226.2,85266.4,100533,117859
61,1.25799,36226.2,84375.9,101243,122215
62,1.27838,36226.2,86872.6,101034,118620
63,1.29867,36226.2,81533.1,101433,125725
64,1.31882,36226.2,81597.1,101962,120709
65,1.33903,36226.2,81012.1,101158,123657
66,1.35941,36226.2,85083.4,100282,119187
67,1.37978,36226.2,86917.7,100636,128288
68,1.40004,36226.2,87012.1,101211,116725
69,1.42018,36226.2,83629.7,100313,120296
70,1.44039,36226.2,82544,100360,122322
71,1.46076,36226.2,84098.1,100140,117807
72,1.481,36226.2,78480.4,101199,119640
73,1.50135,36226.2,83355.1,99839.7,116360
74,1.52155,36226.2,85092,99917.6,117556
75,1.54175,36226.2,86262,99851.7,119440
76,1.56202,36226.2,81128.5,99821.7,121306
77,1.58234,36226.2,84077.3,100519,123234
78,1.60258,36226.2,84798.1,99610.8,122563
79,1.62279,36226.2,79482.1,99517.2,122496
80,1.64304,36226.2,81983.2,99943.2,122181
81,1.66333,36226.2,85651.8,98917.3,118149
82,1.68366,36226.2,79304.9,98424.9,121128
83,1.70383,36226.2,80372.1,98436,116930
84,1.72405,36226.2,81627.8,100120,122725
85,1.74427,36226.2,80449.8,98665.6,113546
86,1.76447,36226.2,81564.7,99251.5,117717
87,1.78479,36226.2,83041.8,97298.1,122158
88,1.80505,36226.2,75986.3,98011.7,112614
89,1.82526,36226.2,81609.7,98720.3,118916
90,1.84551,36226.2,81529.7,97250.7,115479
91,1.86588,36226.2,83372.7,98200,119044
92,1.8862,36226.2,82104.9,98440.5,120557
93,1.90655,36226.2,80454,97860.4,116454
94,1.92716,36226.2,80595.5,97522.3,116479
95,1.94743,36226.2,82214.8,96855,117368
96,1.96765,36226.2,83426.6,96972.2,112226
97,1.98788,36226.2,81594.9,96632.8,116552
98,2.00841,36226.2,81565.6,97365.5,117596
99,2.02934,36226.2,79158.6,96767,124568
100,2.05004,36226.2,78574.8,96588.8,119555
101,2.07059,36226.2,80727.9,97773.6,123564
102,2.09093,36226.2,79762.4,95548.3,112943
103,2.11143,36226.2,79145.3,96538,119396
104,2.1317,36226.2,76548.4,96350.4,122828
105,2.15198,36226.2,76608.1,95774.8,130423
106,2.17216,36226.2,80707.6,95784.4,118974
107,2.19259,36226.2,79115.1,95513.6,115249
108,2.21275,36226.2,80141.2,95405.1,114082
109,2.233,36226.2,80468,96222.9,117281
